,S.N.,Symbol,Transaction No.,Buyer Broker,Sell Broker,Share Quantity,Rate (Rs),Amount (in Rs),Traded Date
0,1,BHPL,2026052705000065,7,60,10.0,521.1,5211.0,2026-05-27
1,2,BHPL,2026052705000124,34,45,10.0,535.0,5350.0,2026-05-27
2,3,BHPL,2026052705000233,58,60,10.0,526.0,5260.0,2026-05-27
3,4,BHPL,2026052705000326,58,59,20.0,526.1,10522.0,2026-05-27
4,5,BHPL,2026052705001402,58,59,20.0,527.2,10544.0,2026-05-27
5,6,BHPL,2026052705001403,58,59,500.0,527.1,263550.0,2026-05-27
6,7,BHPL,2026052705001404,32,59,80.0,527.0,42160.0,2026-05-27
7,8,BHPL,2026052705001513,58,62,80.0,527.1,42168.0,2026-05-27
8,9,BHPL,2026052705001514,32,62,120.0,527.0,63240.0,2026-05-27
9,10,BHPL,2026052705001542,32,80,10.0,527.0,5270.0,2026-05-27
10,11,BHPL,2026052705001889,32,7,80.0,527.0,42160.0,2026-05-27
11,12,BHPL,2026052705001969,32,43,210.0,527.0,110670.0,2026-05-27
12,13,BHPL,2026052705001970,58,43,100.0,527.0,52700.0,2026-05-27
13,14,BHPL,2026052705001971,58,43,10.0,527.0,5270.0,2026-05-27
14,15,BHPL,2026052705001979,8,43,10.0,527.0,5270.0,2026-05-27
15,16,BHPL,2026052705001980,74,43,150.0,526.2,78930.0,2026-05-27
16,17,BHPL,2026052705003399,49,43,10.0,529.9,5299.0,2026-05-27
17,18,BHPL,2026052705003570,58,43,50.0,526.4,26320.0,2026-05-27
18,19,BHPL,2026052705003571,56,43,250.0,526.3,131575.0,2026-05-27
19,20,BHPL,2026052705003585,49,43,20.0,526.2,10524.0,2026-05-27
20,21,BHPL,2026052705003586,32,43,100.0,526.0,52600.0,2026-05-27
21,22,BHPL,2026052705003587,58,43,530.0,525.1,278303.0,2026-05-27
22,23,BHPL,2026052705003588,49,43,150.0,525.0,78750.0,2026-05-27
23,24,BHPL,2026052705003589,58,43,500.0,525.0,262500.0,2026-05-27
24,25,BHPL,2026052705004996,82,43,20.0,528.9,10578.0,2026-05-27
25,26,BHPL,2026052705005007,34,43,170.0,528.9,89913.0,2026-05-27
26,27,BHPL,2026052705005034,34,58,330.0,529.0,174570.0,2026-05-27
27,28,BHPL,2026052705005265,34,44,10.0,530.0,5300.0,2026-05-27
28,29,BHPL,2026052705005266,34,80,490.0,530.0,259700.0,2026-05-27
29,30,BHPL,2026052705005275,58,80,167.0,530.0,88510.0,2026-05-27
30,31,BHPL,2026052705005501,45,43,250.0,531.7,132925.0,2026-05-27
31,32,BHPL,2026052705005502,45,26,421.0,531.8,223887.8,2026-05-27
32,33,BHPL,2026052705005503,45,65,329.0,532.0,175028.0,2026-05-27
